date,min,max,median,q1,q3,stdev,count
2023-01-15T00:00:00.000Z,0.3,5.85,1.9,1.12,2.41,0.958,457
2023-01-16T00:00:00.000Z,0.1,30.2,1.02,0.4,2.92,2.412,487
2023-01-17T00:00:00.000Z,1.2,26,3.6,2.63,8.88,6.026,503
2023-01-18T00:00:00.000Z,0.2,11.4,1.2,0.8,2.27,2.128,438
2023-01-19T00:00:00.000Z,1.85,28.05,4.84,3,11.53,5.938,557
2023-01-20T00:00:00.000Z,3.08,68.05,9.18,5.72,26.6,13.786,523
2023-01-21T00:00:00.000Z,7.15,36.33,11.77,10.35,13.63,3.006,499
2023-01-22T00:00:00.000Z,4.97,43.58,13,8.19,16.3,4.914,561
2023-01-23T00:00:00.000Z,4.34,25.7,7.6,6.32,8.82,1.975,451
2023-01-24T00:00:00.000Z,3.38,19.3,9.02,7.13,11.57,3.32,524
2023-01-25T00:00:00.000Z,0.5,36.63,3.1,2.17,5.15,2.663,485
2023-01-26T00:00:00.000Z,0.2,22.98,1.7,0.88,9.93,5.536,545
2023-01-27T00:00:00.000Z,0.73,11.4,1.7,1.1,3.13,2.045,419
2023-01-28T00:00:00.000Z,0.6,28.45,1.77,1.3,3.2,3.094,518
2023-01-29T00:00:00.000Z,0.8,9.93,2.1,1.7,3.05,1.15,509
2023-01-30T00:00:00.000Z,0.1,2.92,0.6,0.35,0.98,0.378,475
2023-01-31T00:00:00.000Z,0.2,12.38,0.85,0.55,4.55,3.219,497
2023-02-01T00:00:00.000Z,0.8,11.38,3.63,2.47,5.5,2.159,514
2023-02-02T00:00:00.000Z,0.6,77.7,1.5,1.1,6.4,10.658,503
2023-02-03T00:00:00.000Z,0.8,14.43,4.84,1.6,6.28,2.918,388
2023-02-04T00:00:00.000Z,1,58.97,1.63,1.38,8.23,8.765,554
2023-02-05T00:00:00.000Z,0.7,7.7,2.08,1.2,3.6,1.683,481
2023-02-06T00:00:00.000Z,1.25,15.2,2.31,1.89,3.97,1.634,444
2023-02-07T00:00:00.000Z,3.17,16.57,5.45,4.57,8.28,3.003,461
2023-02-08T00:00:00.000Z,2.38,59.2,6.24,4.4,9.13,4.419,404
2023-02-09T00:00:00.000Z,0.2,16.25,6.63,3.98,8.25,2.938,453
2023-02-10T00:00:00.000Z,0.2,9.63,0.73,0.5,1.23,1.398,478
2023-02-11T00:00:00.000Z,0.6,21.48,2.27,1.65,5.32,3.26,438
2023-02-12T00:00:00.000Z,1.05,8.57,2.63,1.7,3.8,1.386,505
2023-02-13T00:00:00.000Z,0.6,3.3,1.1,0.9,1.3,0.335,391
2023-02-14T00:00:00.000Z,0.52,37.67,1.4,1.08,3.82,6.183,432
2023-02-15T00:00:00.000Z,4.65,42.25,9.1,7.68,11,4.534,379
2023-02-16T00:00:00.000Z,8.57,25.85,15.08,12.2,20.63,4.783,422
2023-02-17T00:00:00.000Z,1.2,35.42,16.09,8.8,18.7,6.535,394
